DABCU;75;1268
DABCU;81;2688
DABCU;93;916
DABCU;76;583
DABCU;68;538
DABCU;90;4444
DABCU;3;74506
DABCU;91;3688
DABCU;89;6
DABCU;96;1
DABCU;77;7439
DABCU;78;3055
DABCU;92;2834
DABDT;81;1
DABDT;86;74
DABDT;78;3
DABDT;3;865
DACON;3;4
DACON;77;1
DADGI;;3114
DADUY;77;7
DADUY;91;3
DADUY;3;105856
DADUY;82;5289
DADUY;78;3
DADUY;81;1
DADUY;79;1
DADUY;70;3338
DADUY;86;1
DADUY;68;132
DADUY;35;1970
DAEBC;68;17
DAEBC;94;2
DAEBC;35;3
DAEBC;3;139493
DAEBC;76;29
DAEBC;82;15538
DAEBC;78;4
DAEBC;79;6
DAEBC;95;149
DAEBC;81;9
DAEBC;75;1
DAEBC;73;2
DAEBC;70;3343
DAEBC;77;150
DAEBC;86;146
DAEBC;91;3
DAECC;76;1
DAECC;35;10
DAECC;93;2
DAECC;75;2
DAECC;82;9
DAECC;3;1863
DAECC;81;8
DAECE;3;20553
DAECE;82;1
DAECE;75;1
DAECI;76;461
DAECI;3;20
DAECI;95;2
DAECI;86;28
DAECI;79;1
DAECI;81;1
DAECR;3;355
DAECR;78;1
DAECR;75;3
DAECR;35;18
DAECR;76;1
DAECR;70;8
DAECR;81;3
DAEDG;86;3
DAEDG;68;1
DAEDG;77;46
DAEDG;82;7
DAEDG;95;41
DAEDG;81;4
DAEDG;78;9
DAEDG;76;29
DAEDG;3;2238
DAEDG;70;6
DAEIC;82;11
DAEIC;86;6
DAEIC;91;1
DAEIC;95;3
DAEIC;70;221
DAEIC;3;20
DAELA;95;44
DAELA;3;7
DAELA;81;1
DAELA;77;1
DAELA;76;12
DAELE;3;14
DAELE;78;1
DAELI;3;17
DAELI;95;2
DAENC;3;78
DAENC;95;1
DAEOA;68;2
DAEOA;3;24571
DAEOA;75;4
DAEOA;82;7
DAEPL;78;3
DAEPL;35;1
DAEPL;82;2230
DAEPL;86;1
DAEPL;95;15
DAEPL;3;543
DAEPL;93;1
DAEWC;82;1231
DAEWC;3;23517
DAEWC;92;1
DAEWC;78;1
DAEWC;93;1
DAEWC;96;2
DAEWC;81;80
DAEWC;91;3
DAEWC;77;134
DAEWC;70;470
DAEWC;76;84
DAEWC;86;26
DAEWC;95;158
DAFWR;3;16
DAFWR;78;1
DAIGB;86;9
DAIGB;78;80
DAIGB;90;1
DAIGB;79;5
DAIGB;81;20
DAIGB;77;316
DAIGB;82;123
DAIGB;3;3729
DAIGB;71;1
DAIGB;89;4
DAIGB;75;23
DAIGB;96;36
DAIGB;70;195
DAIGB;91;20
DAIGB;93;3
DAIGB;92;201
DAIGB;95;133
DAIMA;3;65983
DAIMA;81;3
DAIMA;82;2118
DAIMA;78;1
DAIWB;91;460
DAIWB;76;372
DAIWB;86;409
DAIWB;82;1
DAIWB;35;7624
DAIWB;73;1
DAIWB;93;7
DAIWB;71;1
DAIWB;77;2656
DAIWB;75;438
DAIWB;78;1930
DAIWB;90;98
DAIWB;95;1
DAKBD;82;1150
DAKBD;75;2
DAKBD;91;1
DAKBD;95;86
DAKBD;79;3
DAKBD;77;2
DAKBD;3;66105
DAKBD;76;30
DAKBD;70;879
DAKBD;86;105
DAKBD;81;144
DAKBD;78;2
DAKBR;82;6879
DAKBR;89;2
DAKBR;91;305
DAKBR;79;2
DAKBR;77;153
DAKBR;94;1
DAKBR;75;3
DAKBR;81;112
DAKBR;76;39
DAKBR;3;118293
DAKBR;70;1720
DAKBR;78;10
DAKBR;95;672
DAKBR;68;375
DAKBR;93;5
DAKBR;86;117
DAKBT;3;8157
DAKBT;78;2
DAKBT;76;1
DAKBT;86;30
DAKSO;94;1
DAKSO;89;2
DAKSO;81;67
DAKSO;70;2298
DAKSO;82;6363
DAKSO;90;2
DAKSO;95;178
DAKSO;77;189
DAKSO;71;1
DAKSO;78;4
DAKSO;93;1
DAKSO;3;269885
DAKSO;92;617
DAKSO;76;30
DAKSO;86;92
DALWB;75;9
DALWB;35;6414
DALWB;91;3
DALWB;95;88
DALWB;78;11
DALWB;76;57
DALWB;93;3
DALWB;90;2
DALWB;77;1342
DAMAN;78;976
DAMAN;91;244
DAMAN;35;1877
DAMAN;75;174
DAMAN;93;1
DAMAN;71;1
DAMAN;76;47
DAMAN;77;1309
DAMAN;90;5
DAMAN;86;407
DAMPR;3;1061452
DAMPR;77;88838
DAMPR;79;8627
DAMPR;96;10
DAMPR;93;8560
DAMPR;81;113174
DAMPR;91;32876
DAMPR;94;7418
DAMPR;73;7
DAMPR;89;577
DAMPR;68;19029
DAMPR;75;105883
DAMPR;78;241668
DAMPR;37;16
DAMPR;71;1313
DAMPR;90;76695
DAMPR;86;25513
DAMPR;92;58893
DAMPR;82;54220
DAMPR;76;99
DAMPR;70;39766
DAMPR;95;6756
DAMPR;35;7225
DASDO;;50
DASIU;84;34
DASIU;90;15
DASIU;3;8705
DASIU;75;2731
DASIU;82;60
DASIU;79;21
DASIU;77;606
DASIU;93;11
DASIU;35;991
DASSF;20;24
DASSF;28;184
DASSF;10;2848
DASSF;1;25
DASSF;31;494
DASSF;57;267
DASSF;3;17109
DASSF;33;2367
DASSF;21;392
DASSF;6;41
DASSF;84;169
DASSF;82;2355
DASSF;23;116
DASSF;70;1398
DASSF;22;25
DASSF;35;1725
DASSF;16;210
DASSF;56;162
DASSF;8;190
DASSF;19;252
DASSF;15;1404
DASSF;81;1011
DASSF;11;24
DASSF;18;42
DASSP;3;24503
DASSP;70;2881
DASSP;33;4662
DASSP;35;3426
DASSP;84;301
DASSP;81;10010
DASSP;31;1811
DASSP;19;70
DASSP;82;5272
DASSP;10;1046
DATCS;;4756
DATFA;3;166
DATFA;70;5930
DATFU;70;192
DATFU;3;35
DEDUP;78;163
DEDUP;;3470
DEGWF;3;9
DEGWF;82;4
DERXM;78;13965
DEWFA;3;2
DEWFA;;4
DEWFL;77;4286
DEWFL;78;1175
DEWFL;3;27457
DEWFL;35;5
DEWFL;70;391
DEWFL;81;6
DEWFL;82;5969
